a52dec 0.7.4-8
wvstreams 4.6.1-7
wxgtk 3.0.2-4
wxpython 3.0.2.0-1
x265 1.7-2
xarchiver 0.5.4-2
xbindkeys 1.8.6-1
xbitmaps 1.1.1-3
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-user-dirs 0.15-2
xdg-utils 1.1.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.2-1
xf86-input-joystick 1.6.2-5
xf86-input-keyboard 1.8.1-1
xf86-input-mouse 1.9.1-1
xf86-input-synaptics 1.8.2-2
xf86-input-void 1.4.1-1
xf86-video-ark 0.7.5-6
xf86-video-ati 1:7.5.0-2
xf86-video-dummy 0.3.7-4
xf86-video-fbdev 0.4.4-4
xf86-video-glint 1.2.8-6
xf86-video-i128 1.3.6-6
xf86-video-intel 1:2.99.917+472+gf0fd4d5-1
xf86-video-mach64 6.9.5-1
xf86-video-neomagic 1.2.9-1
xf86-video-nouveau 1.0.11-3
xf86-video-nv 2.1.20-6
xf86-video-openchrome 0.3.3-5
xf86-video-r128 6.10.0-1
xf86-video-savage 2.3.8-1
xf86-video-siliconmotion 1.7.8-1
xf86-video-sis 0.10.8-1
xf86-video-tdfx 1.4.5-6
xf86-video-trident 1.3.7-1
xf86-video-vesa 2.3.4-1
xf86-video-voodoo 1.2.5-6
